District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
District of Maryland,MD,Matthew J. Maddox,2023,Biden,D,1977,46,0,46,No,2057,No,No,,No,,,
Northern District of West Virginia,WV-N,Tom Kleeh,2018,Trump,R,1974,49,5,54,No,2049,No,No,,Yes,,,
Northern District of West Virginia,WV-N,John P. Bailey,2007,G.W. Bush,R,1951,72,16,88,Yes,2016,No,No,,No,,,
Northern District of West Virginia,WV-N,Gina M. Groh,2012,Obama,D,1964,59,11,70,No,2033,No,No,,No,,,
Southern District of West Virginia,WV-S,Thomas E. Johnston,2006,G.W. Bush,R,1967,56,17,73,No,2032,No,No,,Yes,,,
Southern District of West Virginia,WV-S,Joseph R. Goodwin,1995,Clinton,D,1942,81,28,109,Yes,2007,No,No,,No,,,
Southern District of West Virginia,WV-S,Robert Charles Chambers,1997,Clinton,D,1952,71,26,97,Yes,2017,No,No,,No,,,
Southern District of West Virginia,WV-S,Irene Berger,2009,Obama,D,1954,69,14,83,Yes,2020,No,No,,No,,,
Southern District of West Virginia,WV-S,Frank W. Volk,2019,Trump,R,1965,58,4,62,No,2041,No,No,,No,,,
Eastern District of Virginia,VA-E,Mark Steven Davis,2008,G.W. Bush,R,1962,61,15,76,No,2027,No,No,,Yes,,,
Eastern District of Virginia,VA-E,Leonie Brinkema,1993,Clinton,D,1944,79,30,109,Yes,2009,No,No,,No,,,
Eastern District of Virginia,VA-E,Arenda Wright Allen,2011,Obama,D,1960,63,12,75,No,2028,No,No,,No,,,
Eastern District of Virginia,VA-E,M. Hannah Lauck,2014,Obama,D,1963,60,9,69,No,2034,No,No,,No,,,
Eastern District of Virginia,VA-E,Rossie D. Alston Jr.,2019,Trump,R,1957,66,4,70,No,2033,No,No,,No,,,
